State,Account_length,Intl_plan,Voicemail_message,day_call,day_charge,eve_call,eve_charge,night_call,night_charge,intl_call,intl_charge,CS_calls,Churn
KS,128,No,25,110,45.07,99,16.78,91,11.01,3,2.7,1,0
OH,107,No,26,123,27.47,103,16.62,103,11.45,3,3.7,1,0
NJ,137,No,0,114,41.38,110,10.3,104,7.32,5,3.29,0,0
OH,84,Yes,0,71,50.9,88,5.26,89,8.86,7,1.78,2,0
OK,75,Yes,0,113,28.34,122,12.61,121,8.41,3,2.73,3,0
AL,118,Yes,0,98,37.98,101,18.75,118,9.18,6,1.7,0,0
MA,121,No,24,88,37.09,108,29.62,118,9.57,7,2.03,3,0
MO,147,Yes,0,79,26.69,94,8.76,96,9.53,6,1.92,0,0
WV,141,Yes,37,84,43.96,111,18.87,97,14.69,5,3.02,0,0
RI,74,No,0,127,31.91,148,13.89,94,8.82,5,2.46,0,0
IA,168,No,0,96,21.9,71,8.92,128,6.35,2,3.02,1,0
MT,95,No,0,88,26.62,75,21.05,115,8.65,5,3.32,3,0
IA,62,No,0,70,20.52,76,26.11,99,9.14,6,3.54,4,0
ID,85,No,27,139,33.39,90,23.88,75,4.02,4,3.73,1,0
VT,93,No,0,114,32.42,111,18.55,121,5.83,3,2.19,3,0
VA,76,No,33,66,32.25,65,18.09,108,7.46,5,2.7,1,0
TX,73,No,0,90,38.15,88,13.56,74,8.68,2,3.51,1,0
FL,147,No,0,117,26.37,93,20.37,133,9.4,4,2.86,0,0
CO,77,No,0,89,10.61,121,14.44,64,9.43,6,1.54,5,1
AZ,130,No,0,112,31.11,99,6.2,78,8.18,19,2.57,0,0
VA,132,No,0,86,13.79,72,20.84,115,10.67,2,2.78,0,0
NE,174,No,0,76,21.13,112,23.55,115,11.28,5,4.19,3,0
WY,57,No,39,115,36.21,112,16.24,115,8.22,3,2.57,0,0
MT,54,No,0,73,22.83,100,13.22,68,4.59,4,3.97,3,0
MO,20,No,0,109,32.3,84,21.95,102,8.17,6,1.7,0,0
IL,142,No,0,95,14.42,63,11.62,148,11.27,6,3.83,2,0
NH,75,No,0,105,38.44,107,17.13,98,11.08,5,2.78,1,0
LA,172,No,0,121,36.04,115,2.65,78,13.2,10,3.4,3,0
AZ,12,No,0,118,42.43,119,21.45,90,12.61,3,3.19,1,1
OK,57,No,25,94,30.06,75,16.58,116,9.61,4,2.24,0,0
GA,72,No,37,80,37.4,102,18.47,71,6.88,6,3.97,3,0
MA,78,No,0,64,22.24,116,19.01,108,10.25,5,2.7,1,0
AK,136,Yes,33,106,34.66,99,15.95,107,4.58,6,2.84,3,0
NJ,149,No,0,94,23.87,92,23.1,108,8.47,9,3.0,1,0
GA,98,No,0,102,21.47,85,14.18,135,8.45,2,2.54,3,0
MD,135,Yes,41,85,29.43,107,17.33,78,5.5,15,3.94,0,1
AR,34,No,0,82,21.22,98,23.99,78,14.02,4,2.7,2,0
ID,160,No,0,77,14.59,110,14.05,92,8.03,4,2.48,3,0
WI,64,No,0,67,26.18,118,19.19,86,11.94,3,0.95,1,0
OR,59,No,28,97,20.55,92,18.11,116,7.34,5,2.3,2,0
